description,filename,size,aspect ratio,qty,prompt
Logo - navbar and footer,public/images/logo.svg,400x120,3:1,1,"Minimal professional logo for Pro Floor VA flooring company Hampton Virginia, clean modern typography, subtle wood grain accent, dark and gold tones, transparent background, vector style"
Favicon - browser tab,public/favicon.svg; public/apple-touch-icon.webp; public/favicon-512.webp,32x32; 180x180; 512x512,1:1,3,"Simple icon mark for Pro Floor VA flooring brand, geometric floor plank or house symbol, dark background gold accent, flat minimal design"
Social share image - OG and Twitter,public/images/og-image.webp,1200x630,1.91:1,1,"Professional flooring installation hero shot in a Hampton Virginia home interior, newly installed hardwood floors gleaming, warm natural light, wide cinematic crop, Pro Floor VA branding feel, photorealistic"
Hero image - homepage banner,public/images/hero.webp,1920x1080,16:9,1,"Stunning wide shot of flawless newly installed hardwood flooring in a bright Hampton Virginia living room, professional flooring craftsmanship, warm afternoon light, photorealistic interior photography"
Video thumbnail - results section,public/images/video-thumbnail.webp,1200x800,3:2,1,"Professional flooring installer working on hardwood floor installation in a residential home, kneeling with tools, clean job site, Hampton Virginia suburban interior, photorealistic documentary style"
Why us feature - installation without compromise,public/images/why-us-installation.webp,800x600,4:3,1,"Close-up of meticulous hardwood floor plank alignment during professional installation, precision craftsmanship, clean tools, shallow depth of field, photorealistic"
Why us feature - done in days not weeks,public/images/why-us-fast.webp,800x600,4:3,1,"Before and after style flooring project nearly complete in a Hampton home, installer finishing final planks, efficient professional workflow, bright interior, photorealistic"
Why us feature - minimal mess maximum respect,public/images/why-us-clean.webp,800x600,4:3,1,"Spotless residential room during flooring installation, protective coverings on furniture, dust-free professional job site, respectful clean workspace, photorealistic"
Service - hardwood installation,public/images/service-hardwood.webp,800x600,4:3,1,"Beautiful solid hardwood flooring installation in progress, rich oak planks, warm tones, professional installer, upscale Hampton Virginia home interior, photorealistic"
Service - laminate installation,public/images/service-laminate.webp,800x600,4:3,1,"Durable laminate flooring being installed in a family room, wood-look planks, modern suburban home, professional flooring tools, photorealistic"
Service - vinyl installation,public/images/service-vinyl.webp,800x600,4:3,1,"Waterproof luxury vinyl plank flooring installation in a kitchen, wood-look vinyl, clean modern design, professional installer, photorealistic"
Testimonial rating badge,public/images/rating-badge.svg,200x56,wide,1,"Five gold stars rating badge graphic, clean minimal design, transparent background, professional review emblem"
Testimonial customer avatar 1,public/images/avatar-sarah-mitchell.webp,112x112,1:1,1,"Professional headshot portrait of friendly middle-aged woman homeowner, natural smile, soft neutral background, square crop suitable for circular avatar"
Testimonial customer avatar 2,public/images/avatar-james-rodriguez.webp,112x112,1:1,1,"Professional headshot portrait of friendly middle-aged man homeowner, natural smile, soft neutral background, square crop suitable for circular avatar"
Testimonial customer avatar 3,public/images/avatar-margaret-chen.webp,112x112,1:1,1,"Professional headshot portrait of friendly senior woman homeowner, warm smile, soft neutral background, square crop suitable for circular avatar"
Contact office photo,public/images/contact-office.webp,1200x900,4:3,1,"Welcoming flooring company office or showroom exterior in Hampton Virginia, professional signage, clean storefront or workshop, daytime, photorealistic"
